Provinsi,X1,X2 ,X3,X4,X5,Y,APM_SD
Aceh,9.88,139.45,695,14.23,96.61,1,97.96
Sumatera Utara,13.21,154.53,3030,7.99,97.45,0,97.68
Sumatera Barat,11.88,138.8,668,5.97,93.06,1,98.89
Riau,14.22,201.43,824,6.67,96.1,1,98.45
Jambi,12.65,148.68,739,7.10,95.32,1,98.17
Sumatera Selatan,14.37,186.36,1767,10.97,90.62,0,97.53
Bengkulu,11.00,138.29,25,13.56,94.2,1,98.33
Lampung,13.84,168.28,696,10.69,89.12,1,98.33
Kepulauan Bangka Belitung,16.25,191.89,209,4.55,105.37,1,98.29
Kepulauan Riau,15.84,230.59,154,5.37,111.94,1,98.71
DKI Jakarta,19.14,335.68,277,4.30,114.79,1,98.39
Jawa Barat,21.03,230.98,4681,7.46,105.3,1,98.53
Jawa Tengah,15.43,138.66,1185,10.47,102.08,1,98.39
DI Yogyakarta,13.19,144.64,28,10.83,104.88,1,99.43
Jawa Timur,13.75,131.84,1618,9.79,96.29,1,98.81
Banten,20.85,262.85,1552,5.84,94.18,1,98.09
Bali,14.82,158.91,107,4.00,107.46,1,98.7
Nusa Tenggara Barat,11.23,154.41,944,12.91,104.09,1,98.57
Nusa Tenggara Timur,11.51,124.52,1737,19.48,92.42,0,97.01
Kalimantan Barat,13.52,125.29,61,6.32,107.34,1,98.6
Kalimantan Tengah,10.21,104.19,63,5.17,106.56,1,98.35
Kalimantan Selatan,11.54,120.10,30,4.11,100.7,1,98.68
Kalimantan Timur,15.61,217.64,61,5.78,118.3,1,98.59
Kalimantan Utara,13.01,166.11,114,6.32,107.52,0,95.18
Sulawesi Utara,10.76,99.45,162,7.25,100.77,0,95.87
Sulawesi Tengah,10.52,107.96,53,11.77,91.82,0,94.84
Sulawesi Selatan,12.38,136.27,97,08.06,95.91,0,97.81
Sulawesi Tenggara,10.05,126.16,28,11.21,94.71,0,97.33
Gorontalo,12.41,116.15,392,14.57,96.51,1,98.2
Sulawesi Barat,94.62,108.02,1,11.21,91.63,0,96.82
Maluku,10.62,111.22,364,16.05,106.52,0,97.27
Maluku Utara,10.27,106.74,85,6.32,114.09,0,96.41
Papua Barat,12.48,124.23,92,21.66,124.71,0,95.15
Papua Barat Daya,11.12,109.40,67,18.13,122.21,0,95.39
Papua,14.95,138.72,297,17.26,134.96,0,92.52
Papua Selatan,20.75,156.69,290,17.44,142.98,0,85.86
Papua Tengah,26.10,258.16,592,29.76,209.28,0,69.03
Papua Pegunungan,32.07,216.47,216,32.97,249.12,0,75.4
